"schoolid","schoolname","calendaryear","academicyear","jd1sectionsz","ftjd1sectionsz","ptjd1sectionsz","postjd1courses","courseseclt25","courseseclt50","courseseclt75","courseseclt100","coursesectgte100","totalsimpos","simposfilled","ftsimposfilled","ptsimposfilled","seminars","semposfilled","ftsemposfilled","ptsemposfilled","totalclinics","totalclinpos","clinposfilled","ftclinposfilled","ptclinposfilled","fieldposfilled","ftfieldposfilled","ptfieldposfilled","indstudy","ftindstudy","ptindstudy","lawjour","ftlawjour","ptlawjour","interskillscomp","ftinterskillscomp","ptinterskillscomp","cocurricularoffers","gradreqcredithrs","fyreqcourscredithrs","ulreqcourscredithrs"
"00222600","Western New England University","2019","2018","73","","","81","67","14","4","0","0","304","","","","17","","","","","52","","","","47","","","","","","","","","","","","13","88","",""
"00225400","Michigan State University","2019","2018","69","","","225","149","34","14","7","1","805","","","","21","","","","","174","","","","102","","","","","","","","","","","","5","88","",""
"00232300","University of Detroit Mercy","2019","2018","59","","","112","100","20","11","6","0","312","","","","17","","","","","206","","","","127","","","","","","","","","","","","13","90","",""
"00232503","University of Michigan","2019","2018","76","","","219","137","46","15","6","4","897","","","","63","","","","","357","","","","94","","","","","","","","","","","","11","83","",""
"00232902","Wayne State University","2019","2018","27","","","107","70","19","4","4","1","293","","","","12","","","","","191","","","","96","","","","","","","","","","","","7","86","",""
"00234500","University of St. Thomas (Minnesota)","2019","2018","70","","","96","62","24","5","2","0","336","","","","17","","","","","163","","","","761","","","","","","","","","","","","7","88","",""
"00239101","Mitchell Hamline School of Law","2019","2018","51","","","174","161","51","16","13","2","1194","","","","27","","","","","249","","","","315","","","","","","","","","","","","20","83","",""
"00241501","Mississippi College","2019","2018","62","","","82","65","18","7","2","0","565","","","","10","","","","","102","","","","111","","","","","","","","","","","","11","90","",""
"00244000","University of Mississippi","2019","2018","48","","","97","83","22","5","1","1","223","","","","26","","","","","94","","","","69","","","","","","","","","","","","6","90","",""
"00250609","Saint Louis University","2019","2018","79","","","156","147","20","9","6","0","1103","","","","13","","","","","78","","","","103","","","","","","","","","","","","48","91","",""
"00251600","University of Missouri","2019","2018","45","","","83","64","12","3","0","0","363","","","","0","","","","","83","","","","52","","","","","","","","","","","","10","89","",""
"00251800","University of Missouri-Kansas City","2019","2018","45","","","166","133","24","9","2","0","438","","","","22","","","","","180","","","","107","","","","","","","","","","","","7","91","",""
"00252000","Washington University","2019","2018","68","","","144","82","39","20","7","2","757","","","","13","","","","","169","","","","147","","","","","","","","","","","","62","86","",""
"00253600","University of Montana","2019","2018","39","","","81","62","22","2","0","0","764","","","","40","","","","","25","","","","88","","","","","","","","","","","","15","90","",""
"00254200","Creighton University","2019","2018","55","","","80","87","10","3","0","0","486","","","","11","","","","","28","","","","17","","","","","","","","","","","","13","89","",""
"00256500","University of Nebraska","2019","2018","68","","","96","81","19","7","0","0","391","","","","10","","","","","100","","","","35","","","","","","","","","","","","4","93","",""
"00256900","University of Nevada - Las Vegas","2019","2018","71","","","108","91","17","4","2","0","470","","","","3","","","","","44","","","","158","","","","","","","","","","","","8","89","",""
"00258903","University of New Hampshire","2019","2018","45","","","87","86","9","1","0","0","502","","","","13","","","","","73","","","","77","","","","","","","","","","","","9","85","",""
"00262900","Rutgers University","2019","2018","44","","","227","213","31","10","5","2","1346","","","","48","","","","","335","","","","170","","","","","","","","","","","","25","84","",""
"00263201","Seton Hall University","2019","2018","66","","","125","140","28","6","4","1","758","","","","14","","","","","111","","","","147","","","","","","","","","","","","39","88","",""
"00266300","University of New Mexico","2019","2018","30","","","134","151","17","6","2","0","88","","","","23","","","","","121","","","","100","","","","","","","","","","","","27","86","",""
"00267700","Brooklyn Law School","2019","2018","63","","","234","190","31","16","7","4","2453","","","","18","","","","","481","","","","421","","","","","","","","","","","","15","85","",""
"00270711","Columbia University","2019","2018","99","","","342","260","46","18","5","13","922","","","","161","","","","","336","","","","373","","","","","","","","","","","","61","84","",""
"00271101","Cornell University","2019","2018","33","","","226","179","23","12","6","5","491","","","","36","","","","","364","","","","32","","","","","","","","","","","","473","84","",""
"00272203","Fordham University","2019","2018","45","","","300","274","53","10","9","5","1182","","","","139","","","","","288","","","","201","","","","","","","","","","","","21","83","",""
"00273200","Hofstra University","2019","2018","65","","","146","192","21","6","9","2","836","","","","39","","","","","161","","","","117","","","","","","","","","","","","35","87","",""
"00278300","New York Law School","2019","2018","100","","","154","160","45","18","7","2","425","","","","136","","","","","296","","","","157","","","","","","","","","","","","20","86","",""
"00278500","New York University","2019","2018","85","","","356","232","74","27","13","12","344","","","","116","","","","","376","","","","187","","","","","","","","","","","","10","83","",""
"00279102","Pace University","2019","2018","56","","","130","105","20","9","6","1","303","","","","24","","","","","114","","","","201","","","","","","","","","","","","11","88","",""
